Module Name* (in netlist),Type,synopsys memory type,config boundary reference,Word Number,Bit Number,Bit-write,Memory C-Q delay ,Max Operating Freq.  ,power_gating,Mux Number,Bank,center_decode,periphery_vt,redundancy,2-cycle latency,Instance Name ,Number,BitsCount,Summary
HEVC_RF_1P_80X160B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,80,160,TRUE,,,FLASE,1,1,TRUE,HIGH,FALSE,,,20,256000,
HEVC_RF_1P_80X60,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,80,60,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg80x60,1,4800,
HEVC_RF_1P_96X80B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,80,TRUE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg96x80B1_e10,16,122880,
HEVC_RF_1P_96X160B1,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,160,TRUE, , ,FALSE,1,1,TRUE,HIGH,FALSE,,u_blk_spreg96x160B1_e20,8,122880,
HEVC_RF_1P_96X36,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,96,36,FALSE, , ,FALSE,1,1,FALSE,HIGH,FALSE,,u_blk_spreg96x36,1,3456,
HEVC_SR_1P_1920X64,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,1920,64,FALSE, , ,FALSE,8,2,TRUE,HIGH,FALSE,,u_blk_spsram1920x64,1,122880,
HEVC_SR_1P_2048X16,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,2048,16,FALSE, , ,FALSE,16,1,TRUE,HIGH,FALSE,,u_blk_spsram2048x16,1,32768,
HEVC_SR_1P_2048X32,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,2048,32,FALSE, , ,FALSE,8,2,TRUE,HIGH,FALSE,,u_blk_spsram2048x32,1,65536,
HEVC_SR_1P_256X32B1,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,256,32,TRUE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram256x32B1_e8,1,8192,
HEVC_SR_1P_384X128,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,384,128,FALSE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram384x128,1,49152,
HEVC_SR_1P_384X128B1,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,384,128,TRUE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram384x128B1_e32,1,49152,
HEVC_SR_1P_416X32,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,416,32,FALSE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram416x32,1,13312,
HEVC_SR_1P_4096X16,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,4096,16,FALSE, , ,FALSE,16,2,TRUE,HIGH,FALSE,,u_blk_spsram4096x16,1,65536,
HEVC_SR_1P_512X28,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,512,28,FALSE, , ,FALSE,4,1,FALSE,HIGH,FALSE,,u_blk_spsram512x28,2,28672,
HEVC_SR_1P_768X128,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,768,128,FALSE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram768x128,2,196608,
HEVC_SR_1P_768X128B1,UHD SRAM (2M GEN2 ),ts28nzh41p11sad2l02ms,,768,128,TRUE, , ,FALSE,4,1,TRUE,HIGH,FALSE,,u_blk_spsram768x128B1_e32,2,196608,
HEVC_RF_1P_512X160,HD RF (128K GEN2),ts28nzh41p11sadgl128s,,512,160,FALSE,,,FLASE,2,2,TRUE,HIGH,FALSE,,,1,30720,
HEVC_RF_2P_144X160,2-ports HD RF ( 128K GEN2),ts28nzh42p11sadgl128s,,144,160,TRUE, , ,FALSE,2,2,TRUE,HIGH,FALSE,,u_blk_dpreg128x128,2,32768,
